year,magnitude,fire,harvest,insects,age,deciduous,conifers,protected,elevation,precipitation,temperature,precipitation_lag,temperature_lag,longitude,latitude
2016, 1062,NA,NA,NA, 75.86,79.88,20.11,0,437,1019,5.50,1097,4.18,-6151055,5033314
2014, 1403,NA,NA,NA, 80.06,57.82,41.42,0,463,1266,3.10,1126,4.92,-6136693,5078950
2013, -540,NA,NA,NA, 63.30,88.85,11.15,0,332,1010,4.58, 894,6.07,-6046810,5063892
2017, -774,NA,NA,NA, 59.64,65.90,34.10,0,359,1139,4.36, 926,4.05,-6042177,5101884
2010, -984,NA,NA,NA, 64.22,68.10,31.71,0,389, 928,5.96, 984,4.22,-6077852,5045823
2019,-1255,NA, 1,NA, 81.04,71.81,28.17,0,289, 923,3.29, 950,4.61,-6006502,5128293
2012,-1059,NA,NA,NA, 76.92,82.81,17.01,0,502, 888,5.90,1006,4.70,-6098238,5038642
2005, -681,NA, 1,NA, 61.68,74.87,25.11,0,292, 782,4.96, 836,4.11,-6035227,5090069
2013, -674,NA,NA,NA, 70.94,79.61,20.27,0,432,1059,4.23, 925,5.73,-6077852,5045360
2008, -624,NA,NA,NA, 66.00,50.06,47.95,0,452,1294,3.90,1034,4.72,-6134608,5089143
2015, -603,NA,NA,NA, 80.31,75.00,24.83,0,425, 900,4.61,1016,4.77,-6119550,5026364
2014, -842,NA,NA,NA, 59.55,16.93,83.06,0,274, 982,3.40, 953,5.00,-6033142,5114857
2016, -558,NA,NA,NA, 81.86,88.02,11.74,0,503, 999,4.89,1051,3.60,-6105187,5054858
2016, -589,NA,NA,NA, 82.20,81.78,18.21,0,481,1005,5.32,1051,4.02,-6132523,5021962
2008, -538,NA,NA,NA, 69.04,81.16,18.83,0,367,1101,4.60, 892,5.46,-6071134,5032850
2014, -422,NA,NA,NA, 81.88,25.11,74.71,1,395,1101,3.09,1028,4.74,-6077389,5097714
2015, 1260,NA,NA,NA, 71.60,87.57,12.21,0,467, 917,4.44, 991,4.63,-6075767,5035398
2010, -632,NA, 1,NA, 43.06,29.46,69.49,0,262, 879,5.91, 919,4.08,-6029204,5111382
2013, -510,NA,NA,NA, 75.30,12.27,78.69,0,215, 992,4.45, 884,5.99,-6005575,5118100
2021,  655,NA,NA,NA,115.30,41.01,58.06,0,188, 772,7.07, 930,5.29,-5996077,5109760
2011, -896,NA,NA,NA, 73.68,78.75,21.22,0,420, 968,5.17,1038,4.51,-6091520,5041421
2017, -863,NA,NA,NA,102.68,69.28,29.77,0,197,1145,5.42, 887,5.20,-5991444,5109065
2020,-1325,NA, 1,NA, 73.62,67.53,32.31,0,288, 898,5.10, 957,3.98,-6007660,5129219
2008, -640,NA,NA,NA, 94.34,64.91,28.05,0,289, 997,4.46, 871,5.31,-6027351,5081266
2013, -651,NA,NA,NA, 92.65,78.45,21.53,0,427,1057,4.27, 923,5.76,-6078315,5044896
2015, -745,NA,NA,NA, 75.96,72.21,27.66,0,414, 841,4.00,1099,4.05,-6073914,5132231
2007, -865,NA,NA,NA, 78.54,75.98,24.01,0,394, 979,4.95,1007,5.05,-6174221,5034008
2019,  877,NA,NA,NA, 66.78,31.58,66.82,0,364, 968,2.94, 978,4.31,-6026656,5122270
2019,-1679,NA,NA,NA, 78.53,30.63,69.11,0,290, 925,3.20, 947,4.54,-6016000,5129219
2010, -812,NA,NA,NA, 76.38,82.07,17.78,0,466, 980,5.63,1057,4.00,-6117465,5032387
2020,  803,NA,NA,NA, 78.56,58.59,39.05,0,409,1175,5.89,1241,4.76,-6167735,5029375
2009, -559,NA, 1,NA,100.28,71.28,28.72,0,363, 931,3.90, 968,4.61,-6021096,5086594
2015, -570,NA,NA,NA, 83.22,78.96,20.98,0,444, 873,4.00,1125,4.09,-6092215,5107444
2013, -616,NA,NA,NA, 79.30,79.10,20.90,0,406,1193,3.82, 994,5.53,-6097080,5117868
2019,  155,NA,NA,NA, 92.65,72.66,26.92,0,486,1284,3.30,1149,4.70,-6113759,5033545
2019,-1125,NA,NA,NA, 65.12,48.66,51.32,0,387,1055,3.20,1030,4.59,-6042177,5090764
2015, -785,NA,NA,NA, 83.94,92.12, 7.71,0,434, 901,4.62,1001,4.80,-6114454,5023121
2018,-1168,NA, 1,NA, 34.77,25.88,63.50,0,271, 907,4.62, 941,4.81,-6034764,5106054
2013, -569,NA,NA,NA, 68.24,75.92,24.08,0,463,1071,4.12, 936,5.62,-6077157,5045591
2010, -807,NA,NA,NA, 78.62,91.96, 7.84,0,463,1063,5.60,1136,4.02,-6146654,5075938
2005, -984,NA,NA,NA, 60.50,62.59,37.37,1,416, 843,4.21, 904,3.35,-6060478,5098177
2012, -964,NA,NA,NA, 77.27,72.80,27.19,0,474, 903,5.96,1015,4.76,-6112369,5037252
2011,  893,NA,NA,NA, 66.32,71.09,28.86,0,214, 936,6.11, 911,5.52,-6024339,5079413
2012, 1003,NA,NA,NA, 75.56,90.98, 8.92,0,484, 997,6.07,1085,4.85,-6162175,5045360
2010,-1312,NA,NA,NA, 55.30,67.58,32.17,0,357, 928,5.61,1016,3.94,-6067659,5131767
2012,  243,NA,NA,NA, 43.56,32.03,67.30,0,309, 903,5.76, 927,4.70,-6038239,5115783
2016, -559,NA,NA,NA, 78.52,82.25,17.74,0,476, 982,4.70,1036,3.44,-6086192,5073622
2014, 1353,NA,NA,NA, 64.24,95.77, 4.00,0,530,1275,3.00,1141,4.77,-6146886,5065050
2006,  784,NA,NA,NA,102.14,78.40,21.54,0,365,1007,5.49, 844,4.07,-6017390,5092849
2018,-1181,NA,NA,NA, 42.90,67.92,32.08,0,218, 866,4.88, 926,5.04,-5981946,5131536
2020, -828,NA,NA,NA, 82.84,61.02,38.93,0,409, 949,4.66,1003,3.57,-6035459,5120185
2016, -637,NA,NA,NA, 82.68,80.00,19.85,0,492,1008,5.10,1031,3.86,-6106346,5031229
2016, -542,NA,NA,NA, 84.76,84.16,15.75,1,472, 991,5.00,1018,3.77,-6098933,5042116
2013, -360,NA,NA,NA,113.52,85.41,14.59,0,242, 983,4.31, 889,5.87,-5985421,5130841
2015, -753,NA,NA,NA, 84.06,79.94,19.95,0,423, 952,4.68,1190,4.78,-6175611,5052078
2019, 1511,NA,NA,NA, 93.84,54.61,45.28,0,259,1000,3.97,1007,5.31,-6006965,5100726
2016, -576,NA,NA,NA, 79.36,80.60,18.23,0,442, 966,5.00, 984,3.81,-6076462,5054163
2007, -507,NA,NA,NA, 71.76,24.93,73.80,0,386, 882,3.93, 889,4.15,-6058161,5090533
2016, -435,NA,NA,NA, 51.88,13.15,80.16,0,217, 922,5.90, 911,4.77,-6004880,5099567
2009, -937,NA, 1,NA, 71.04,28.60,70.75,0,406, 973,3.40,1028,4.12,-6066964,5101420
2009, -448,NA,NA,NA,109.84,63.85,35.98,0,288, 913,4.40, 946,5.14,-6019011,5081266
2020,  429,NA,NA,NA, 83.00,48.70,49.17,1,257, 968,5.89,1047,4.62,-6023876,5092849
2013, -523,NA,NA,NA, 63.54,56.77,43.11,0,443,1076,4.01, 931,5.51,-6088740,5048140
2017, -697,NA,NA,NA, 69.58,65.66,34.29,0,386,1231,4.53, 940,4.25,-6070207,5063661
2012,  883,NA,NA,NA, 80.26,85.99,14.00,0,407, 990,5.93, 997,4.82,-6097774,5117405
2017, -935,NA,NA,NA, 83.16,65.18,34.79,0,362,1175,4.48, 929,4.17,-6045420,5089606
2010,  768,NA,NA,NA, 76.98,87.09,12.86,0,292, 887,6.30, 919,4.42,-6026424,5084510
2017, -846,NA,NA,NA, 80.16,70.08,29.90,0,411,1158,4.12, 939,3.85,-6041019,5101652
2006,  959,NA,NA,NA, 79.40,65.27,34.62,0,336, 999,5.60, 838,4.20,-6019706,5093544
2005, -856,NA,NA,NA, 60.52,64.23,35.59,0,394, 849,4.10, 904,3.20,-6041250,5127598
2018, -691,NA,NA,NA, 75.60,58.74,41.22,0,399, 949,4.20, 973,4.47,-6077389,5109297
2010, -872,NA,NA,NA, 75.80,69.82,29.84,0,466,1011,5.50,1084,3.87,-6125573,5048835
2015, -694,NA,NA,NA, 81.52,78.38,21.62,0,348, 851,4.44, 955,4.60,-6042640,5079645
2013, -404,NA,NA,NA, 63.36,43.18,56.67,0,199, 966,4.95, 873,6.49,-5997004,5105590
2021,  758,NA,NA,NA, 78.20,75.09,24.77,0,267, 849,6.70,1001,4.99,-6033837,5083120
2013, -372,NA,NA,NA, 78.58,69.33,30.68,0,425,1181,3.63, 988,5.32,-6088508,5115088
2009, -828,NA,NA,NA, 67.18,75.45,24.13,0,473, 992,3.20,1074,3.95,-6075304,5115552
2014, 1776,NA,NA,NA, 78.82,81.16,18.55,0,518,1269,3.01,1138,4.83,-6143642,5066904
2020,-1127,NA,NA,NA, 78.80,71.24,28.74,0,374, 946,4.82,1006,3.70,-6029436,5117405
