year,magnitude,age,deciduous,conifers,protected,elevation,precipitation,temperature,precipitation_lag1,temperature_lag1,precipitation_lag2,temperature_lag2,precipitation_lag3,temperature_lag3,cmi,rh,cmi_lag1,rh_lag1,cmi_lag2,rh_lag2,cmi_lag3,rh_lag3
2009, 356.2, 55.16,14.8,79.81,0,251, 893,4.10, 989,4.20, 845,4.52, 983,5.60,39.3,58.0,46.7,57.0,26.1,57.0,43.7,60.6
2012, 678.4, 76.20,85.8,14.18,0,527, 908,5.60,1000,4.70, 977,5.21,1052,3.30,35.0,62.0,48.8,63.0,45.4,63.0,60.1,60.0
2011,2353.2, 70.92,20.7,74.00,1,300, 955,5.24, 884,5.96, 906,3.88, 998,4.04,40.3,61.0,31.8,62.0,41.3,58.0,48.5,57.0
2006,1143.0, 36.26,21.8,71.20,0,192, 968,6.16, 759,5.55, 755,4.38, 918,4.36,40.6,61.0,13.6,57.0,22.1,59.0,38.3,59.0
2013, 485.8, 61.52,22.9,77.14,1,255,1023,4.20, 866,6.09, 940,5.25, 878,5.96,48.5,59.0,25.9,59.0,37.9,60.0,30.6,61.0
2009, 590.9, 67.38,36.9,62.80,0,335, 926,3.78,1022,3.90, 858,4.23, 999,5.30,44.1,59.0,51.8,57.0,28.9,57.0,46.9,61.0
2014, 361.8, 62.66,20.3,73.42,0,213, 941,4.17, 995,4.80, 830,6.60, 929,5.80,42.6,60.0,44.8,60.0,20.8,60.0,35.9,61.9
2010,1244.3, 64.24,57.9,42.09,0,328, 884,5.54, 901,3.50,1015,3.64, 872,3.99,32.8,61.0,41.6,58.0,51.0,57.0,30.5,56.0
2011, 936.9, 74.23,58.5,41.33,0,292, 956,5.25, 880,5.95, 901,3.95, 993,4.05,40.3,61.0,31.3,62.0,40.7,58.6,47.7,57.0
2006, 716.8, 47.28,33.7,66.22,0,336,1004,6.33, 822,5.64, 882,4.63, 975,4.44,46.4,63.0,22.3,59.0,37.1,61.0,46.2,60.0
2006, 794.3, 39.73,72.7,24.56,0,408,1018,5.88, 833,5.18, 894,4.18, 988,3.98,49.2,63.0,25.0,58.0,39.7,60.0,48.9,60.0
2009, 518.1, 75.46,82.8,16.96,0,470,1091,3.67,1283,3.82, 986,4.30,1100,5.17,63.5,60.7,81.1,60.0,44.2,59.0,59.4,62.0
2007, 468.3, 54.50,80.8,19.18,0,357, 861,4.39,1007,5.50, 792,4.89, 792,3.75,29.1,58.0,47.5,62.0,20.0,57.0,28.6,59.0
2016, 265.2, 71.23,69.9,28.92,0,335, 940,5.59, 849,4.59,1203,3.48,1178,4.09,39.5,61.0,31.4,59.0,74.3,63.0,68.3,63.0
2012, 469.9, 83.06,65.0,34.91,0,426, 889,6.15, 979,5.25, 967,5.75,1062,3.85,31.2,62.0,44.9,62.0,42.5,62.5,59.4,60.0
2012,1224.0, 76.02,78.4,21.51,0,514,1031,5.80,1095,4.90,1072,5.40,1103,3.60,48.2,62.3,57.8,63.0,55.8,64.0,65.9,61.0
2016, 807.8, 88.54,87.5,12.47,0,404, 941,4.85, 849,3.95,1124,2.94,1150,3.59,38.4,58.0,30.3,57.0,65.0,60.0,64.4,60.0
2011, 742.4, 75.04,90.6, 9.30,0,292, 959,5.58, 888,6.30, 913,4.20, 996,4.34,40.2,62.0,31.4,63.0,41.5,59.0,47.6,58.0
2019, 347.0, 74.83,52.4,46.81,0,383, 969,2.90, 905,3.99,1084,4.10, 922,4.70,47.4,57.0,36.5,59.0,57.1,59.0,36.0,57.0
2014, 494.6, 74.22,21.7,78.23,0,246, 964,3.61,1020,4.25, 864,6.11, 938,5.30,45.6,59.0,48.0,59.0,25.5,59.0,37.6,60.0
2014,1063.0, 75.54,77.2,21.31,0,466,1049,2.96,1100,3.70, 904,5.60, 987,4.70,57.9,60.0,60.0,60.7,33.7,61.0,46.5,62.0
2012, 384.7, 55.90,55.2,44.70,0,332, 953,5.90, 972,5.00, 922,5.70, 947,3.78,38.1,61.0,43.0,61.0,38.3,63.0,48.2,60.0
2021, 956.5, 84.74,78.9,21.06,0,491,1060,5.90,1178,5.29,1266,3.20,1115,4.40,51.8,61.0,67.1,61.0,79.2,59.0,59.7,62.0
2009, 569.8, 74.18,52.5,46.10,1,184, 869,4.26, 966,4.41, 837,4.74, 974,5.81,36.1,58.0,43.4,57.0,24.5,57.0,41.8,60.0
2007, 615.0, 45.36,12.0,77.95,0,230, 838,4.69, 978,5.75, 770,5.15, 764,3.99,25.1,57.0,42.7,61.0,15.9,56.0,24.2,58.0
2007, 664.2, 59.50,84.0,15.89,0,343, 859,4.40,1005,5.50, 790,4.90, 789,3.73,28.6,58.0,46.9,61.0,19.4,57.0,28.0,59.0
2005, 263.9, 63.56,33.3,66.28,0,304, 806,4.42, 795,3.20, 947,3.26, 826,4.12,21.5,55.0,29.4,57.0,43.8,57.0,31.3,58.0
2021,1029.7, 82.82,81.5,18.55,0,507,1045,5.71,1161,5.09,1263,3.11,1108,4.26,50.5,60.0,66.0,61.0,79.1,59.0,59.2,61.4
2009,1025.3, 71.42,79.4,20.30,0,374, 973,3.84,1063,3.99, 849,4.31,1001,5.41,49.6,59.0,56.8,58.0,28.8,58.0,47.7,61.0
2006,1570.3, 62.68,75.7,24.31,0,304, 992,5.53, 784,4.89, 784,3.73, 939,3.70,45.3,61.0,18.5,56.0,27.2,58.0,42.6,58.0
2021, 469.0, 62.08,44.0,55.98,0,453, 896,5.59,1028,4.82,1098,2.86, 992,4.02,33.8,59.0,51.6,59.0,61.1,57.8,46.3,60.0
2021, 573.0, 54.60,62.6,36.97,0,441, 920,5.60,1029,4.90,1122,3.00, 990,4.17,36.7,59.0,52.4,60.0,64.1,58.0,46.4,60.0
2009, 510.2, 84.26,86.7,13.14,0,231, 900,4.57, 980,4.74, 830,5.04, 971,6.17,39.0,59.2,44.8,58.0,23.4,58.0,41.4,62.0
2010, 578.5, 63.10,59.6,40.36,1,349, 925,5.40, 945,3.50,1102,3.60, 921,4.00,38.0,62.0,47.2,58.0,61.0,58.0,36.4,57.0
2012, 512.1, 93.54,60.2,39.20,0,318, 825,6.60, 946,5.71, 905,6.40, 964,4.40,21.8,61.0,39.1,63.0,33.4,63.0,47.1,60.0
2009, 482.6, 65.08,51.8,47.50,0,391, 952,3.50,1059,3.65, 875,3.99,1020,5.05,47.9,59.0,56.7,57.1,31.7,57.0,50.0,61.0
2013, 357.4, 81.84,17.8,82.11,0,226,1017,4.30, 861,6.20, 931,5.39, 871,6.09,47.5,59.0,24.9,59.0,36.6,60.0,29.4,61.0
2014,1064.3, 77.00,86.9,13.11,0,369,1240,4.01,1266,4.90, 990,6.89,1114,5.90,75.8,62.0,74.3,62.0,40.2,62.0,56.3,63.0
