year,magnitude,age,deciduous,conifers,protected,elevation,precipitation,temperature,precipitation_lag1,temperature_lag1,precipitation_lag2,temperature_lag2,precipitation_lag3,temperature_lag3,cmi,rh,cmi_lag1,rh_lag1,cmi_lag2,rh_lag2,cmi_lag3,rh_lag3
2017,1236, 32.77,65.8,33.83,0,195,1067,5.12, 886,5.62, 808,4.73, 906,3.98,52.7,60.0,29.4,58.0,22.7,57.0,39.5,60.0
2013,1395, 85.36,61.8,38.05,0,483,1174,3.69, 962,5.61,1021,4.74, 998,5.31,67.2,60.9,39.7,61.0,49.6,62.0,46.8,62.8
2010, 241, 57.74,20.9,76.80,0,381, 926,5.50, 948,3.50,1057,3.65, 876,4.00,37.9,62.0,47.4,58.7,56.4,57.0,31.7,57.0
2007, 630, 81.07,75.3,24.11,0,198, 840,4.70, 981,5.80, 768,5.20, 752,4.00,25.6,57.0,43.2,61.0,16.1,57.0,23.4,58.0
2017, 625, 78.00,69.4,29.81,0,443,1178,4.60, 994,5.20, 901,4.27,1253,3.17,69.6,63.0,45.4,61.0,37.5,59.0,79.6,62.0
2011, 932, 76.44,46.0,52.48,1,404, 999,5.13, 982,5.66,1035,3.79,1176,3.89,46.4,62.0,44.0,62.0,56.5,60.0,69.0,59.0
2015, 454, 82.68,77.9,21.47,0,422, 944,4.66,1244,3.59,1260,4.39, 996,6.36,40.6,60.0,77.3,62.0,74.9,62.0,42.4,62.0
2015, 530, 81.58,82.1,17.84,0,431, 901,4.64,1056,3.64,1095,4.43, 886,6.35,35.7,59.0,58.2,61.0,58.9,62.0,31.0,62.0
2012, 901, 66.67,82.1,17.84,0,507, 898,5.70, 988,4.80, 971,5.30,1055,3.40,33.7,62.0,47.3,63.0,44.5,63.0,60.2,60.0
2010, 505, 70.12,73.7,26.24,0,346, 913,5.43, 932,3.43,1066,3.60, 892,3.93,36.4,61.0,45.5,58.0,56.9,57.0,33.1,56.8
2013, 723, 87.48,70.7,29.28,0,419,1200,3.81, 991,5.90,1021,4.99, 983,5.66,70.7,62.0,44.1,63.0,49.7,63.0,46.5,65.0
2008, 620, 60.68,76.5,22.82,0,390,1097,4.16, 850,4.49,1006,5.62, 818,4.96,60.3,59.0,28.9,58.0,48.3,62.0,23.8,58.0
2012, 608, 66.02,48.3,51.67,0,280, 846,6.29, 947,5.45, 882,6.10, 907,4.10,23.8,60.0,39.0,61.0,31.1,62.0,41.0,59.0
2013, 648, 79.72,90.5, 9.49,0,380,1152,3.68, 968,5.76, 988,4.86, 938,5.58,65.0,61.0,40.8,61.0,45.6,62.0,41.1,64.0
2006, 516, 24.86,71.8,28.12,0,319,1014,5.11, 816,4.50, 810,3.26, 962,3.30,48.3,60.0,22.8,56.0,31.1,57.0,45.6,57.0
2018,1199, 84.40,41.2,58.71,0,274, 915,4.65,1120,4.71, 914,5.27, 823,4.45,35.3,59.0,58.7,59.0,32.6,57.0,24.7,56.0
2015, 582, 77.08,78.8,21.24,0,498, 900,4.12,1053,3.20,1090,3.90, 883,5.80,36.6,59.0,58.8,61.0,59.4,62.0,31.7,62.0
2013,1091, 78.34,76.1,23.77,0,410,1156,4.61, 931,6.54,1024,5.61, 995,6.03,64.4,62.0,35.2,62.0,48.8,63.0,45.0,63.0
2015,1606, 77.52,77.1,22.91,0,386, 848,4.31,1175,3.21,1170,3.90, 976,5.97,30.9,58.9,71.0,62.0,67.2,62.0,42.0,62.0
2008,1446, 72.46,53.3,46.53,0,435,1100,3.60, 878,3.95,1030,5.00, 833,4.37,61.8,58.0,32.8,57.9,51.9,61.0,26.6,56.9
2008, 949, 72.26,91.3, 8.50,0,423,1311,4.21,1015,4.70,1101,5.53, 954,4.90,83.3,61.0,46.5,60.0,58.6,63.0,38.8,59.0
2005, 838, 42.76,26.9,72.82,0,253, 778,5.00, 777,3.90, 932,3.84, 787,4.90,17.0,56.0,25.8,58.0,41.1,58.0,25.7,59.0
2015, 538, 84.20,87.7,12.17,0,359, 937,5.06,1220,3.96,1242,4.79, 978,6.76,38.7,60.0,73.8,62.0,71.9,62.0,39.1,62.0
2018, 605, 80.24,71.6,27.74,0,276, 888,4.60,1094,4.70, 905,5.21, 820,4.40,32.6,59.0,56.2,60.0,32.2,57.0,24.8,56.0
2017, 348,101.94,52.1,47.75,0,266,1180,5.11, 935,5.61, 839,4.81, 948,4.01,64.4,61.0,33.9,58.0,25.7,57.0,43.8,60.0
2012, 712, 61.98,72.1,27.93,0,372, 959,5.76, 981,4.86, 930,5.57, 954,3.62,39.3,61.0,44.3,61.0,39.6,63.0,49.4,60.0
2006, 812, 72.46,76.5,23.50,0,415,1052,4.70, 855,4.10, 854,2.80, 994,2.90,54.1,61.0,29.1,56.0,37.9,58.0,50.6,58.0
2010, 911, 73.22,76.0,23.25,0,440, 971,5.81,1086,3.98,1206,4.11, 884,4.50,43.0,63.0,61.9,60.0,72.3,59.0,33.0,59.0
2019,1851, 46.06,25.6,74.15,0,288, 924,3.20, 877,4.30,1065,4.40, 897,4.96,40.6,56.0,31.8,58.0,53.3,58.0,31.6,56.0
2006, 604, 72.84,85.0,14.69,0,410,1098,5.70, 955,5.00, 991,3.90,1144,3.80,58.1,63.0,38.8,59.0,50.5,61.0,65.8,60.0
2020,1211,103.08,62.1,37.85,0,302, 967,5.75,1022,3.75, 951,4.86,1183,4.95,41.3,59.0,49.7,58.0,38.9,61.0,65.2,61.0
2012, 881, 66.46,40.6,59.36,0,322, 854,6.08, 957,5.20, 889,5.90, 913,3.88,25.5,60.0,40.8,61.0,32.7,62.0,42.4,59.0
2007, 356, 73.46,58.0,40.28,0,444, 895,3.98,1046,5.00, 853,4.32, 871,3.22,34.6,58.0,53.5,61.0,28.7,57.0,38.8,58.5
2019,1063, 84.40,73.9,25.87,0,336,1131,3.69,1028,4.89,1245,4.89, 954,5.45,62.0,58.0,47.8,61.0,72.7,61.0,37.1,58.1
2010,1165, 60.46,62.5,36.30,0,418, 975,5.70,1076,3.80,1197,4.00, 888,4.40,43.2,62.0,60.7,60.0,71.2,59.0,33.2,58.0
2013,1647, 60.98,94.4, 5.64,0,268,1006,4.60, 838,6.44, 946,5.61, 881,6.31,46.7,60.0,22.5,60.0,38.6,62.0,30.5,62.0
2017, 740, 69.56,81.0,18.78,0,382,1268,5.32,1021,5.92, 935,4.93,1195,3.87,76.9,63.0,45.2,60.0,38.8,60.0,71.7,62.0
2010, 669, 99.15,66.6,32.85,0,172, 843,6.73, 855,4.63, 942,4.75, 831,5.03,25.4,63.0,34.3,60.0,40.6,58.0,23.7,58.0
2010, 825, 85.68,56.0,42.42,0,323, 910,6.30, 994,4.37,1082,4.51, 831,4.83,34.6,63.0,50.7,60.0,57.6,59.0,25.8,58.0
2007, 894, 49.50,77.4,22.56,0,463, 874,4.12,1034,5.22, 843,4.55, 885,3.51,32.6,58.0,52.4,62.0,27.7,58.0,40.2,59.3
2012, 944, 93.06,73.6,26.39,0,216, 830,6.63, 949,5.79, 856,6.58, 872,4.49,20.8,60.0,38.0,62.0,26.9,63.0,36.2,60.0
2016, 532, 69.40,73.8,26.21,0,457, 968,4.70, 868,3.80,1064,2.90,1124,3.53,41.3,58.0,32.5,57.0,59.1,60.0,62.0,60.0
2013, 946, 66.32,22.6,75.83,0,352,1045,4.16, 858,6.06, 944,5.20, 914,5.80,53.0,61.0,27.3,61.0,40.6,62.0,36.4,62.0
2004,1194, 70.76,50.6,49.07,0,440, 916,3.56,1048,3.44, 925,4.64, 905,5.30,43.2,59.0,56.3,59.0,42.6,61.0,36.0,60.0
2018, 611, 80.30,71.3,27.91,0,310, 960,4.80,1183,4.81, 940,5.39, 840,4.60,40.2,60.0,65.7,61.0,35.4,58.0,26.8,57.0
2006, 396, 33.50,39.7,57.89,0,326, 989,5.50, 798,4.80, 817,3.71, 955,3.63,46.2,61.0,21.4,57.0,31.8,59.0,45.5,58.0
