year,magnitude,age,deciduous,conifers,protected,elevation,precipitation,temperature,precipitation_lag1,temperature_lag1,precipitation_lag2,temperature_lag2,precipitation_lag3,temperature_lag3,cmi,rh,cmi_lag1,rh_lag1,cmi_lag2,rh_lag2,cmi_lag3,rh_lag3
2016, -623, 86.59,85.35,14.00,0,393,1025,5.77, 938,4.77,1236,3.73,1253,4.53,46.2,60.0,39.5,60.0,76.1,62.0,73.9,62.0
2019,-1241, 77.10,65.04,34.93,0,373,1053,3.30, 963,4.40,1178,4.50, 944,5.01,54.8,57.0,41.8,60.0,66.3,60.0,37.1,58.0
2010, -914, 75.72,78.23,21.65,0,504, 976,5.44,1072,3.54,1184,3.71, 888,4.04,44.9,63.0,61.8,60.0,71.3,59.0,34.8,59.0
2009,-1172, 73.82,63.79,36.21,0,334, 953,3.91,1146,4.09, 959,4.51,1046,5.40,49.4,61.0,67.0,61.0,41.8,60.0,53.4,63.0
2012,  551, 64.08,85.26,14.72,0,459, 918,6.17,1007,5.27, 990,5.72,1104,3.87,34.8,62.0,48.1,63.0,45.3,63.0,64.1,60.0
2010,-1384, 66.20,69.29,30.66,0,477, 992,5.60,1099,3.72,1221,3.90, 901,4.30,45.7,63.0,63.8,60.0,74.4,59.0,35.3,59.0
2016, -556, 86.02,78.05,21.33,0,474,1000,5.21, 911,4.34,1076,3.34,1117,4.14,44.4,59.0,37.4,59.0,60.8,61.0,61.7,62.0
2014, -624, 83.64,72.78,27.22,0,254, 928,3.78, 991,4.31, 858,6.18, 954,5.31,42.2,60.0,45.6,60.0,25.2,60.0,39.9,61.0
2021, 1131, 81.78,86.25,13.75,0,499, 950,5.43,1080,4.73,1156,2.73,1036,3.91,40.3,59.0,57.6,59.1,67.8,58.0,51.5,60.0
2013, -733, 68.85,73.53,26.28,0,492,1214,3.98, 974,5.90,1050,5.00,1036,5.46,71.5,61.3,41.2,62.0,52.8,62.3,50.9,63.0
2013, -735, 91.96,54.44,44.88,0,323,1010,5.10, 819,7.00, 950,6.10, 918,6.70,48.4,62.0,21.0,62.0,39.4,63.0,34.8,64.0
2012, -451,120.98,67.21,30.39,0,324, 840,6.39, 973,5.54, 895,6.32, 921,4.22,22.9,61.0,41.7,62.3,32.2,63.0,42.5,60.0
2018,-1019, 79.86,62.78,37.16,0,289, 899,4.37,1097,4.47, 910,5.00, 822,4.20,34.1,59.0,56.7,59.0,32.9,57.0,25.2,55.0
2009, -640, 55.06,18.78,78.72,0,299, 923,3.71,1048,3.89, 878,4.21,1013,5.21,43.5,58.0,54.1,57.0,30.7,57.0,47.9,60.0
